school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code
TECK WHYE PRIMARY SCHOOL,http://www.teckwhyepri.moe.edu.sg,11 TECK WHYE WALK   ,688261,67691025,na,67635191,na,twps@moe.edu.sg,Choa Chu Kang MRT & LRT,"975, 190 & 985",MADAM WONG SU MAY,MR SATHYA PRASAD S/O G,MR MURALIDHARAN S/O NARAYANAN,na,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
TELOK KURAU PRIMARY SCHOOL,http://www.telokkuraupri.moe.edu.sg,50 BEDOK RESERVOIR RD   ,479239,62441600,na,62442182,na,telokkuraups@moe.edu.sg,Kaki Bukit MRT (nearest),"8, 21, 60 & 65",MADAM GRACE HO LI JUN,MDM SHANTHI D/O VEERASWAMY,MADAM TAN KIM YAN,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
TEMASEK PRIMARY SCHOOL,http://www.temasekpri.moe.edu.sg,501 BEDOK SOUTH AVE 3   ,469300,64438134,na,64495871,na,temasek_ps@moe.edu.sg,Tanah Merah MRT,"25, 46, 48, 229",MADAM ANG GEK LENG ALISON AMANDA,MADAM HASLINDAH BTE BAHROM,MADAM CHONG HUI MIN CHARIS,MADAM LENG BING LING (LIANG BINGLING),na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
TOWNSVILLE PRIMARY SCHOOL,http://www.townsvillepri.moe.edu.sg/,3 ANG MO KIO AVE 10   ,569730,64574345,na,64570141,na,townsvilleps@moe.edu.sg,"Bishan MRT, Ang Mo Kio MRT Stations","45, 50, 55, 261, 548, 22, 24, 128, 135, 159, 162, 162M, 262, 853",MR EDDIE FOO CHIT CHEONG,MR HO SENG TAT SUNNY,MADAM LYNETTE FERNANDEZ,MR MARTIN VELAN ANTHONY,na,na,na,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
UNITY PRIMARY SCHOOL,http://www.unitypri.moe.edu.sg,21 CHOA CHU KANG CRESCENT   ,688268,67676750,na,67676751,na,unity_ps@moe.edu.sg,Yew Tee MRT,TIBs 302,MADAM TAN SIEW KHIAN FINELLA,MR SYAMSUL ANWAR BIN AWANG,MRS JASMINE TAN RODRIGO,na,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
VALOUR PRIMARY SCHOOL,valourpri.moe.edu.sg,49 Punggol Central   ,828728,62426390,na,na,na,valour_ps@moe.edu.sg,na,na,MRS CHARIS WONG,MADAM TAN PIN PIN,MR LEE WEI TE,MR CHONG WEE MING,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
WATERWAY PRIMARY SCHOOL,https://waterwaypri.moe.edu.sg,70 Punggol Drive   ,828802,6636 6880,na,6315 3451,na,waterway_ps@moe.edu.sg,Kadaloor LRT Station,"50, 381",MR WONG KENG YUIN WILBUR,MADAM CHUA KIM LAN JUDY,MADAM SHARIFAH MASTURAH BTE S OSMAN,MADAM TAN GEK SIM MAGELLA,na,na,na,PUNGGOL,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
WELLINGTON PRIMARY SCHOOL,http://www.wellingtonpri.moe.edu.sg,10 WELLINGTON CIRCLE   ,757702,67533319,na,67533765,na,wellingtonps@moe.edu.sg,Sembawang MRT,"980, 856, 859",MS NG HUI MIN,MADAM HOONG WHEE SIEN,MADAM SHAHRULHANA BTE MOHAMED,MR NG WEE MING DENNIS,na,na,na,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
WEST GROVE PRIMARY SCHOOL,http://www.westgrovepri.moe.edu.sg/,1 JURONG WEST ST 72   ,649223,62679234,na,62679235,na,wgps@moe.edu.sg,Boon Lay MRT,"Bus 99, 242",MISS MABEL GOH,MADAM GOH XUEMIN CHERMAINE,MRS CHARMAINE LEE,"MADAM TAY SOOK HIAN, AUDREY",na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
WEST SPRING PRIMARY SCHOOL,http://www.westspringpri.moe.edu.sg,60 Bukit Panjang Ring Road   ,679946,63144192,na,na,63140648,westspring_ps@moe.edu.sg,Jelapang LRT,"920, 922",MR WILLY TAN,MR WILLY TAN NGUAN PENG,MADAM KUM LAI MENG,MR SIM KOOI SUEN,MR CHIN HONG FAI HUMPHREY,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
WEST VIEW PRIMARY SCHOOL,http://www.westviewpri.moe.edu.sg,31 SENJA ROAD   ,677742,67600178,na,67600147,na,wvps@moe.edu.sg,"Bukit Panjang MRT, SENJA LRT (A13)","170, 171, 176, 178, 180, 000, 000, 000, 000, 000",MR LEE FOOK LOONG EUGENE,MADAM SITI SUHAILA BTE SAPIHE,MADAM ONG POH CHOO DORIS,na,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
WESTWOOD PRIMARY SCHOOL,http://www.westwoodpri.moe.edu.sg,1 Jurong West Street 73   ,649188,64121690,na,67945084,na,westwood_ps@moe.edu.sg,Boon Lay MRT Station,"181, 502 & 243",MR MAH SENG THONG ANDREW,MR CHEE CHIT YENG,MR LOW MIN CHYE,MISS CHONG HUAY LENG,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
WHITE SANDS PRIMARY SCHOOL,http://www.whitesandspri.moe.edu.sg,2 PASIR RIS ST 11   ,519075,69229100,na,65815013,na,wsps@moe.edu.sg,Pasir Ris MRT Station,"12, 17, 21, 39, 53, 81, 518, 109",MADAM WONG LIN LIN AUDREY,MS REZINA KHAN D/O ABDUL RAHIM,MISS TIONG LINA,na,na,na,na,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
WOODGROVE PRIMARY SCHOOL,http://www.woodgrovepri.moe.edu.sg/,2 WOODLANDS DRIVE 14   ,738079,68943371,na,68943372,na,woodgrove_ps@moe.edu.sg,Woodlands MRT Station,901,MS ADELINE TAN WEE KIAW,MR PHANG TECK HOW,MR SIM YONG MING,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
WOODLANDS PRIMARY SCHOOL,http://www.woodlandspri.moe.edu.sg,10 WOODLANDS DRIVE 50   ,738853,62697410,na,63671165,na,wdp@moe.edu.sg,Woodlands,912 & 912E,MISS KUCK LI LIAN LILLIAN,MR RAZALI B SENIN,MISS SUSANNA CHAU,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
WOODLANDS RING PRIMARY SCHOOL,http://www.woodlandsringpri.moe.edu.sg,11 WOODLANDS RING ROAD   ,738240,63643679,na,63643490,na,wrps@moe.edu.sg,Admiralty MRT Station,912,MISS GEETHA D/O DORAISAMY,MR LIM KIM THYE,MR CHEW CHIN MING,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
XINGHUA PRIMARY SCHOOL,http://www.xinghuapri.moe.edu.sg,45 HOUGANG AVENUE 1   ,538882,62889121,na,62838831,na,xinghua_ps@moe.edu.sg,Kovan MRT Station,"Bus services 53, 62, 112, 113, 115",MR LEOW YEN MIN,MISS PHUA AI LEI,MS TAN BEE YIN,na,na,na,na,HOUGANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
XINGNAN PRIMARY SCHOOL,http://www.xingnanpri.moe.edu.sg,5 JURONG WEST STREET 91   ,649036,67913679,na,67921493,na,xingnan_ps@moe.edu.sg,Pioneer MRT Station,Bus 99 & 241,"MADAM CHAN SIN LI, CINDY",MDM ANG HWEE LOO,MADAM S ANITHA,MISS YONG HUA MOY,na,na,na,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
XINMIN PRIMARY SCHOOL,https://xinminpri.moe.edu.sg/,9 HOUGANG AVENUE 8   ,538784,62835479,na,62880334,na,xinmin_ps@moe.edu.sg,Nil,"74, 147, 165, 112",MADAM TAN KAY LING,MRS AHKEELA JULIA BEE D/O HANIFAH,MR LIM BOON TECK,na,na,na,na,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
XISHAN PRIMARY SCHOOL,https://www.xishanpri.moe.edu.sg/,8 YISHUN STREET 21   ,768611,67588837,na,67588361,na,xishan_ps@moe.edu.sg,"o   Alight at Yishun MRT Station, o   Take Exit C, o   Walk towards Yishun Street 21","Along Yishun Ave 2, take Bus Service 117, 169, 804, 812, 965. Alight at Blk 220. Along Yishun Ring Road, take Bus Service 1N, 800, 804, NR1. Alight at Blk 227 or 236.","MADAM NGOH YING LI, JANE",MISS LATHA D/O SINASAMY,MISS YAP AI LI,MADAM LEE WEE LING (LI WEILIN),na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
YANGZHENG PRIMARY SCHOOL,http://www.yangzhengpri.moe.edu.sg/,15 SERANGOON AVENUE 3   ,556108,62846298,na,62879778,na,yzps@moe.edu.sg,Serangoon Station,"58 & 105 (Outside the school, Serangoon Ave 3), 133 & 135(Serangoon Ave 2)",MRS LIM- FOO BOON CHING,MR ERIC LEE WEI TAT,MISS MICHELLE HUANG,MADAM TAN ENG ENG JENNY,na,na,na,SERANGOON,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
YEW TEE PRIMARY SCHOOL,http://www.yewteepri.moe.edu.sg,10 CHOA CHU KANG ST 64   ,689100,67670027,na,67675450,na,ytps@moe.edu.sg,Yew Tee MRT Station,307,MADAM NUR SABARIAH BTE MOHD IBRAHIM,MR NG SIOK KWANG ANDREW,MADAM TOH GUAT HWA PAULINE,MADAM PHUA SIEW KHING,na,na,na,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
YIO CHU KANG PRIMARY SCHOOL,http://www.yiochukangpri.moe.edu.sg,1 HOUGANG STREET 51   ,538720,63851365,na,63855915,na,admin_yckps@moe.edu.sg,"Hougang MRT Station, Yio Chu Kang MRT Station","88, 101, 109, 159, 161 and 325",MS POH HWEE THING,MADAM RAMACHANDRA SUGUNA,MADAM SUAH JUN (CAI JUN),na,na,na,na,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
YISHUN PRIMARY SCHOOL,http://www.yishunpri.moe.edu.sg,500 YISHUN RING ROAD   ,768679,62577461,na,67554198,na,yps@moe.edu.sg,Yishun,Translink Feeder Service 800 & 812,MR CHAN WENG YEW MARVIN,MADAM FARLINAH SUPAAH,"MISS WONG PEI LI, PAMELA",MR LEE HAN KEONG,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
YU NENG PRIMARY SCHOOL,http://www.ynps.moe.edu.sg/,56 BEDOK NORTH ST 3   ,469623,64490121,na,64498564,na,ynps@moe.edu.sg,"Bedok MRT Station (East-West Line), Bedok Reservoir MRT STation (Downtown line)","14, 17, 18, 28, 66, 67, 69, 225",MR NG YEOW LING,MR EDWIN ONG YOKE YAM,MR SATIISH SATHASILVAM,na,na,na,na,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
YUHUA PRIMARY SCHOOL,http://www.yuhuapri.moe.edu.sg,158 JURONG EAST STREET 24   ,609558,65605062,na,65648278,na,yuhua_ps@moe.edu.sg,"Jurong East, Bukit Batok","98, 98A, 187, 333, 502, 507, NR5",MRS RUTH TAI MEI FEN,MADAM ZOEY LIM CHING SIA,MADAM TAN PEI JUAN CYNTHIA,na,na,na,na,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
YUMIN PRIMARY SCHOOL,http://www.yuminpri.moe.edu.sg,3 TAMPINES STREET 21   ,529393,67811262,na,67845554,na,yumin_ps@moe.edu.sg,Tampines MRT Station,3,MRS NG- TEO SOCK HUA,MR ABDUL MUTALIB B MOHAMMED AMIN,MADAM TAN BETTY,na,na,na,na,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ZHANGDE PRIMARY SCHOOL,http://www.zhangdepri.moe.edu.sg/,51 Jalan Membina   ,169485,62740357,na,62763042,na,zhangde_ps@moe.edu.sg,Tiong Bahru MRT Station,"16, 33, 63, 123, 195, 605, 851, 14, 65, 147, 167, 196, 197, 961",MR KYAW SAW LYNN,MRS LIM PEGGY,MR CHAN CHEONG CHEONG,MADAM WOO LI SAN,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ZHENGHUA PRIMARY SCHOOL,http://www.zhenghuapri.moe.edu.sg,9 Fajar Road   ,679002,67697478,na,67636459,na,zhenghua_ps@moe.edu.sg,LRT: Fajar Station,"190, 184, 187, 700, 700A, 921",MS MAY TAN MUI GEE,MADAM SNG YEE YEE,MR CHAN KIAN KEONG,MADAM HO YEE HIN WINNIE,na,na,na,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
ZHONGHUA PRIMARY SCHOOL,http://www.zhonghuapri.moe.edu.sg,12 SERANGOON AVENUE 4   ,556095,62835413,na,62823882,na,zhonghua_ps@moe.edu.sg,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT","Boundary Road: 22, 24, 53, 105, 156, 315, 853, 501, 502, Yio Chu Kang Road: 70, 76, 103, 147, 156, 501, 502",MRS CHAN LE CHIN,MADAM THAM SIEW LENG MRS TAN SIEW LENG,MISS AU YEE KUAN,na,na,na,na,SERANGOON,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL
